Source,Target,Weight,Type
儲光羲_1,儲光羲_2,5,undirected
儲光羲_1,張九齡_2,1,undirected
儲光羲_1,王維_2,2,undirected
儲光羲_2,儲光羲_1,5,undirected
儲光羲_2,張說_1,3,undirected
儲光羲_2,顧況_1,1,undirected
元稹_1,元稹_2,5,undirected
元稹_1,陸龜蒙_2,1,undirected
元稹_1,韓愈_1,2,undirected
元稹_2,元稹_1,5,undirected
元稹_2,杜甫_1,1,undirected
元稹_2,韓愈_1,4,undirected
劉禹錫_1,劉禹錫_2,2,undirected
劉禹錫_1,孟郊_2,1,undirected
劉禹錫_1,張九齡_1,1,undirected
劉禹錫_1,張九齡_2,1,undirected
劉禹錫_1,張說_1,3,undirected
劉禹錫_1,李白_2,1,undirected
劉禹錫_1,柳宗元_1,1,undirected
劉禹錫_1,王維_2,6,undirected
劉禹錫_2,劉禹錫_1,2,undirected
劉禹錫_2,徐鉉_2,3,undirected
劉禹錫_2,韋莊_1,1,undirected
劉長卿_1,劉長卿_2,6,undirected
劉長卿_1,皎然_2,1,undirected
劉長卿_1,錢起_1,2,undirected
劉長卿_2,劉長卿_1,6,undirected
劉長卿_2,皎然_2,2,undirected
劉長卿_2,賈島_2,1,undirected
吳融_1,吳融_2,6,undirected
吳融_1,張祜_1,1,undirected
吳融_1,徐夤_2,2,undirected
吳融_1,李商隱_2,3,undirected
吳融_1,杜牧_1,5,undirected
吳融_1,羅隱_1,1,undirected
吳融_1,薛能_2,2,undirected
吳融_1,韋莊_2,2,undirected
吳融_1,韓偓_1,3,undirected
吳融_2,吳融_1,6,undirected
吳融_2,李商隱_2,3,undirected
吳融_2,韋莊_2,1,undirected
呂岩_1,呂岩_2,6,undirected
呂岩_1,貫休_1,2,undirected
呂岩_1,韓偓_2,1,undirected
呂岩_2,呂岩_1,6,undirected
呂岩_2,寒山_1,1,undirected
呂岩_2,貫休_1,2,undirected
姚合_1,盧綸_1,3,undirected
姚合_1,薛能_1,2,undirected
姚合_1,賈島_2,1,undirected
姚合_2,張籍_1,5,undirected
姚合_2,杜荀鶴_1,2,undirected
姚合_2,杜荀鶴_2,1,undirected
孟郊_1,孟郊_2,5,undirected
孟郊_1,王建_2,1,undirected
孟郊_1,顧況_1,2,undirected
孟郊_2,劉禹錫_1,1,undirected
孟郊_2,孟郊_1,5,undirected
孟郊_2,顧況_1,3,undirected
寒山_1,呂岩_2,1,undirected
寒山_1,寒山_2,6,undirected
寒山_1,貫休_1,2,undirected
寒山_1,陸龜蒙_2,1,undirected
寒山_2,寒山_1,6,undirected
寒山_2,陸龜蒙_2,1,undirected
寒山_2,韓愈_1,2,undirected
岑參_1,岑參_2,3,undirected
岑參_1,李白_1,1,undirected
岑參_1,李端_2,3,undirected
岑參_1,顧況_2,2,undirected
岑參_2,岑參_1,3,undirected
岑參_2,李端_1,1,undirected
岑參_2,李端_2,2,undirected
張九齡_1,劉禹錫_1,1,undirected
張九齡_1,張九齡_2,6,undirected
張九齡_1,韋應物_2,4,undirected
張九齡_2,儲光羲_1,1,undirected
張九齡_2,劉禹錫_1,1,undirected
張九齡_2,張九齡_1,6,undirected
張九齡_2,張說_1,4,undirected
張九齡_2,張說_2,1,undirected
張九齡_2,韋應物_2,1,undirected
張祜_1,吳融_1,1,undirected
張祜_1,張祜_2,6,undirected
張祜_1,杜牧_2,2,undirected
張祜_2,張祜_1,6,undirected
張祜_2,李賀_1,2,undirected
張祜_2,李賀_2,2,undirected
張祜_2,杜牧_1,3,undirected
張祜_2,王建_1,2,undirected
張祜_2,顧況_2,4,undirected
張籍_1,姚合_2,5,undirected
張籍_1,張籍_2,4,undirected
張籍_1,李端_1,1,undirected
張籍_2,張籍_1,4,undirected
張籍_2,李端_1,3,undirected
張籍_2,賈島_2,2,undirected
張說_1,儲光羲_2,3,undirected
張說_1,劉禹錫_1,3,undirected
張說_1,張九齡_2,4,undirected
張說_1,張說_2,2,undirected
張說_1,柳宗元_2,4,undirected
張說_1,權德輿_1,2,undirected
張說_1,顧況_1,1,undirected
張說_2,張九齡_2,1,undirected
張說_2,張說_1,2,undirected
張說_2,王維_1,5,undirected
徐夤_1,徐夤_2,6,undirected
徐夤_1,李商隱_1,2,undirected
