Source,Target,Weight,Type
儲光羲_1,儲光羲_2,3,undirected
儲光羲_1,張籍_2,1,undirected
儲光羲_1,賈島_1,2,undirected
儲光羲_1,錢起_1,1,undirected
儲光羲_2,儲光羲_1,3,undirected
儲光羲_2,張說_1,1,undirected
儲光羲_2,柳宗元_1,3,undirected
儲光羲_2,柳宗元_2,2,undirected
元稹_1,元稹_2,1,undirected
元稹_1,王建_2,2,undirected
元稹_1,陸龜蒙_2,1,undirected
元稹_1,顧況_1,3,undirected
元稹_2,元稹_1,1,undirected
元稹_2,杜甫_2,2,undirected
元稹_2,韓愈_1,3,undirected
劉禹錫_1,劉禹錫_2,1,undirected
劉禹錫_1,姚合_1,1,undirected
劉禹錫_1,孟郊_2,3,undirected
劉禹錫_1,張九齡_1,3,undirected
劉禹錫_1,張九齡_2,6,undirected
劉禹錫_1,張祜_1,2,undirected
劉禹錫_1,張說_1,5,undirected
劉禹錫_1,杜牧_1,1,undirected
劉禹錫_1,杜甫_2,2,undirected
劉禹錫_1,權德輿_2,3,undirected
劉禹錫_1,溫庭筠_2,1,undirected
劉禹錫_1,王維_1,1,undirected
劉禹錫_1,王維_2,3,undirected
劉禹錫_1,皮日休_1,1,undirected
劉禹錫_1,貫休_2,2,undirected
劉禹錫_1,賈島_1,3,undirected
劉禹錫_1,賈島_2,3,undirected
劉禹錫_1,錢起_1,1,undirected
劉禹錫_1,錢起_2,1,undirected
劉禹錫_1,韋應物_1,3,undirected
劉禹錫_1,韋應物_2,3,undirected
劉禹錫_1,韋莊_2,1,undirected
劉禹錫_1,顧況_1,2,undirected
劉禹錫_2,劉禹錫_1,1,undirected
劉禹錫_2,薛能_2,2,undirected
劉禹錫_2,韋莊_1,3,undirected
劉長卿_1,劉長卿_2,6,undirected
劉長卿_1,溫庭筠_2,2,undirected
劉長卿_1,賈島_2,1,undirected
劉長卿_2,劉長卿_1,6,undirected
劉長卿_2,溫庭筠_2,2,undirected
劉長卿_2,皎然_2,1,undirected
吳融_1,吳融_2,6,undirected
吳融_1,李商隱_2,3,undirected
吳融_1,杜牧_1,1,undirected
吳融_1,薛能_1,1,undirected
吳融_2,吳融_1,6,undirected
吳融_2,李商隱_2,1,undirected
吳融_2,溫庭筠_1,5,undirected
吳融_2,皮日休_2,3,undirected
呂岩_1,呂岩_2,6,undirected
呂岩_1,徐鉉_1,1,undirected
呂岩_1,貫休_1,2,undirected
呂岩_2,呂岩_1,6,undirected
呂岩_2,徐鉉_1,2,undirected
呂岩_2,顧況_1,1,undirected
姚合_1,劉禹錫_1,1,undirected
姚合_1,姚合_2,5,undirected
姚合_1,盧綸_2,2,undirected
姚合_2,姚合_1,5,undirected
姚合_2,徐鉉_2,1,undirected
姚合_2,杜荀鶴_2,2,undirected
姚合_2,羅隱_1,3,undirected
孟郊_1,孟郊_2,3,undirected
孟郊_1,張九齡_1,2,undirected
孟郊_1,杜荀鶴_2,1,undirected
孟郊_1,皎然_2,6,undirected
孟郊_2,劉禹錫_1,3,undirected
孟郊_2,孟郊_1,3,undirected
孟郊_2,徐鉉_1,2,undirected
孟郊_2,貫休_2,1,undirected
寒山_1,寒山_2,4,undirected
寒山_1,皮日休_1,1,undirected
寒山_1,顧況_1,2,undirected
寒山_2,寒山_1,4,undirected
寒山_2,杜甫_1,2,undirected
寒山_2,顧況_1,3,undirected
岑參_1,李端_1,1,undirected
岑參_1,李端_2,3,undirected
岑參_1,溫庭筠_1,2,undirected
岑參_2,張說_2,2,undirected
岑參_2,李端_1,1,undirected
岑參_2,韋莊_2,3,undirected
張九齡_1,劉禹錫_1,3,undirected
張九齡_1,孟郊_1,2,undirected
張九齡_1,張九齡_2,2,undirected
張九齡_2,劉禹錫_1,6,undirected
張九齡_2,張九齡_1,2,undirected
張九齡_2,張說_1,2,undirected
張九齡_2,錢起_1,1,undirected
張祜_1,劉禹錫_1,2,undirected
張祜_1,張祜_2,3,undirected
張祜_1,張說_1,1,undirected
張祜_1,韋莊_1,3,undirected
張祜_2,張祜_1,3,undirected
張祜_2,杜牧_1,1,undirected
張祜_2,王建_1,2,undirected
張籍_1,張籍_2,2,undirected
張籍_1,徐鉉_2,1,undirected
張籍_1,李端_1,3,undirected
張籍_2,儲光羲_1,1,undirected
張籍_2,張籍_1,2,undirected
張籍_2,王建_2,6,undirected
張籍_2,賈島_1,2,undirected
張說_1,儲光羲_2,1,undirected
張說_1,劉禹錫_1,5,undirected
張說_1,張九齡_2,2,undirected
張說_1,張祜_1,1,undirected
張說_1,張說_2,2,undirected
張說_1,李白_1,1,undirected
張說_1,李白_2,1,undirected
張說_1,杜甫_1,1,undirected
張說_1,權德輿_2,2,undirected
張說_1,貫休_2,3,undirected
張說_1,錢起_1,4,undirected
張說_1,顧況_1,1,undirected
張說_2,岑參_2,2,undirected
張說_2,張說_1,2,undirected
張說_2,李賀_1,1,undirected
張說_2,王維_1,6,undirected
張說_2,錢起_1,1,undirected
徐夤_1,徐夤_2,3,undirected
徐夤_1,李商隱_1,1,undirected
徐夤_1,杜牧_1,3,undirected
徐夤_2,徐夤_1,3,undirected
徐夤_2,杜牧_1,6,undirected
徐夤_2,陸龜蒙_1,1,undirected
徐夤_2,韓偓_2,3,undirected
徐鉉_1,呂岩_1,1,undirected
徐鉉_1,呂岩_2,2,undirected
徐鉉_1,孟郊_2,2,undirected
徐鉉_1,徐鉉_2,5,undirected
徐鉉_1,李商隱_1,1,undirected
徐鉉_1,李商隱_2,6,undirected
徐鉉_1,白居易_2,1,undirected
徐鉉_1,盧綸_1,3,undirected
徐鉉_1,盧綸_2,1,undirected
徐鉉_1,羅隱_2,1,undirected
徐鉉_1,韋莊_2,2,undirected
徐鉉_1,韓偓_2,3,undirected
徐鉉_1,高適_1,1,undirected
徐鉉_2,姚合_2,1,undirected
徐鉉_2,張籍_1,1,undirected
徐鉉_2,徐鉉_1,5,undirected
徐鉉_2,杜荀鶴_1,3,undirected
徐鉉_2,羅隱_1,2,undirected
方幹_1,方幹_2,3,undirected
方幹_1,杜荀鶴_1,1,undirected
方幹_1,韋莊_1,2,undirected
方幹_2,方幹_1,3,undirected
方幹_2,薛能_2,1,undirected
方幹_2,賈島_1,1,undirected
方幹_2,韋莊_1,2,undirected
方幹_2,韓偓_1,4,undirected
李商隱_1,徐夤_1,1,undirected
李商隱_1,徐鉉_1,1,undirected
李商隱_1,李商隱_2,5,undirected
李商隱_1,王維_1,2,undirected
李商隱_1,韓偓_2,4,undirected
李商隱_2,吳融_1,3,undirected
李商隱_2,吳融_2,1,undirected
李商隱_2,徐鉉_1,6,undirected
李商隱_2,李商隱_1,5,undirected
李白_1,張說_1,1,undirected
李白_1,李白_2,6,undirected
李白_1,李賀_1,2,undirected
李白_1,貫休_1,2,undirected
李白_2,張說_1,1,undirected
李白_2,李白_1,6,undirected
李白_2,賈島_1,2,undirected
李端_1,岑參_1,1,undirected
李端_1,岑參_2,1,undirected
李端_1,張籍_1,3,undirected
李端_1,李端_2,5,undirected
李端_1,王建_1,3,undirected
李端_1,盧綸_2,1,undirected
李端_1,韋莊_1,4,undirected
李端_2,岑參_1,3,undirected
李端_2,李端_1,5,undirected
李端_2,皎然_2,1,undirected
李端_2,盧綸_2,2,undirected
李端_2,賈島_1,1,undirected
李賀_1,張說_2,1,undirected
李賀_1,李白_1,2,undirected
李賀_1,李賀_2,6,undirected
李賀_2,李賀_1,6,undirected
李賀_2,杜甫_1,2,undirected
李賀_2,王維_1,1,undirected
杜牧_1,劉禹錫_1,1,undirected
杜牧_1,吳融_1,1,undirected
杜牧_1,張祜_2,1,undirected
杜牧_1,徐夤_1,3,undirected
杜牧_1,徐夤_2,6,undirected
杜牧_1,盧綸_2,2,undirected
杜牧_1,陸龜蒙_1,2,undirected
杜牧_1,韓偓_1,4,undirected
杜牧_2,許渾_1,2,undirected
杜牧_2,許渾_2,3,undirected
杜牧_2,賈島_2,3,undirected
杜牧_2,韋莊_1,3,undirected
杜甫_1,寒山_2,2,undirected
杜甫_1,張說_1,1,undirected
杜甫_1,李賀_2,2,undirected
杜甫_1,杜甫_2,3,undirected
杜甫_1,柳宗元_1,6,undirected
杜甫_1,柳宗元_2,2,undirected
杜甫_1,權德輿_1,3,undirected
杜甫_1,陸龜蒙_2,1,undirected
杜甫_1,韓愈_1,2,undirected
杜甫_1,韓愈_2,4,undirected
杜甫_2,元稹_2,2,undirected
杜甫_2,劉禹錫_1,2,undirected
杜甫_2,杜甫_1,3,undirected
杜甫_2,羅隱_1,3,undirected
杜甫_2,貫休_1,1,undirected
杜甫_2,賈島_1,2,undirected
杜甫_2,韓愈_1,5,undirected
杜甫_2,顧況_1,3,undirected
杜甫_2,高適_1,2,undirected
杜甫_2,高適_2,2,undirected
杜荀鶴_1,徐鉉_2,3,undirected
杜荀鶴_1,方幹_1,1,undirected
杜荀鶴_1,杜荀鶴_2,4,undirected
杜荀鶴_1,白居易_1,1,undirected
杜荀鶴_1,羅隱_1,3,undirected
杜荀鶴_2,姚合_2,2,undirected
杜荀鶴_2,孟郊_1,1,undirected
杜荀鶴_2,杜荀鶴_1,4,undirected
柳宗元_1,儲光羲_2,3,undirected
柳宗元_1,杜甫_1,6,undirected
柳宗元_1,柳宗元_2,4,undirected
柳宗元_1,陸龜蒙_2,2,undirected
柳宗元_1,韓愈_2,2,undirected
柳宗元_2,儲光羲_2,2,undirected
柳宗元_2,杜甫_1,2,undirected
柳宗元_2,柳宗元_1,4,undirected
柳宗元_2,陸龜蒙_2,3,undirected
柳宗元_2,韓愈_2,6,undirected
權德輿_1,杜甫_1,3,undirected
權德輿_1,權德輿_2,1,undirected
權德輿_1,皮日休_1,4,undirected
權德輿_1,盧綸_1,2,undirected
權德輿_2,劉禹錫_1,3,undirected
權德輿_2,張說_1,2,undirected
權德輿_2,權德輿_1,1,undirected
溫庭筠_1,吳融_2,5,undirected
溫庭筠_1,岑參_1,2,undirected
溫庭筠_1,溫庭筠_2,4,undirected
溫庭筠_1,陸龜蒙_1,3,undirected
溫庭筠_1,韋莊_1,1,undirected
溫庭筠_2,劉禹錫_1,1,undirected
溫庭筠_2,劉長卿_1,2,undirected
溫庭筠_2,劉長卿_2,2,undirected
溫庭筠_2,溫庭筠_1,4,undirected
溫庭筠_2,許渾_1,1,undirected
溫庭筠_2,許渾_2,1,undirected
溫庭筠_2,韋莊_1,6,undirected
王建_1,張祜_2,2,undirected
王建_1,李端_1,3,undirected
王建_1,王建_2,2,undirected
王建_1,賈島_2,2,undirected
王建_2,元稹_1,2,undirected
王建_2,張籍_2,6,undirected
王建_2,王建_1,2,undirected
王建_2,顧況_1,2,undirected
王維_1,劉禹錫_1,1,undirected
王維_1,張說_2,6,undirected
王維_1,李商隱_1,2,undirected
王維_1,李賀_2,1,undirected
王維_1,顧況_2,2,undirected
王維_2,劉禹錫_1,3,undirected
王維_2,顧況_1,1,undirected
王維_2,高適_2,2,undirected
白居易_1,杜荀鶴_1,1,undirected
白居易_1,白居易_2,6,undirected
白居易_1,薛能_2,2,undirected
白居易_2,徐鉉_1,1,undirected
白居易_2,白居易_1,6,undirected
白居易_2,盧綸_1,2,undirected
皎然_1,皎然_2,4,undirected
皎然_1,錢起_1,1,undirected
皎然_1,高適_1,3,undirected
皎然_2,劉長卿_2,1,undirected
皎然_2,孟郊_1,6,undirected
皎然_2,李端_2,1,undirected
皎然_2,皎然_1,4,undirected
皮日休_1,劉禹錫_1,1,undirected
皮日休_1,寒山_1,1,undirected
皮日休_1,權德輿_1,4,undirected
皮日休_1,陸龜蒙_2,2,undirected
皮日休_2,吳融_2,3,undirected
皮日休_2,陸龜蒙_1,1,undirected
皮日休_2,韓偓_2,2,undirected
盧綸_1,徐鉉_1,3,undirected
盧綸_1,權德輿_1,2,undirected
盧綸_1,白居易_2,2,undirected
盧綸_1,盧綸_2,6,undirected
盧綸_1,韓偓_1,1,undirected
盧綸_1,顧況_2,1,undirected
盧綸_2,姚合_1,2,undirected
盧綸_2,徐鉉_1,1,undirected
盧綸_2,李端_1,1,undirected
盧綸_2,李端_2,2,undirected
盧綸_2,杜牧_1,2,undirected
盧綸_2,盧綸_1,6,undirected
羅隱_1,姚合_2,3,undirected
羅隱_1,徐鉉_2,2,undirected
羅隱_1,杜甫_2,3,undirected
羅隱_1,杜荀鶴_1,3,undirected
羅隱_1,羅隱_2,4,undirected
羅隱_1,薛能_2,4,undirected
羅隱_1,韋應物_1,2,undirected
羅隱_1,高適_2,1,undirected
羅隱_1,齊己_1,1,undirected
羅隱_1,齊己_2,1,undirected
羅隱_2,徐鉉_1,1,undirected
羅隱_2,羅隱_1,4,undirected
羅隱_2,齊己_1,4,undirected
薛能_1,吳融_1,1,undirected
薛能_1,薛能_2,6,undirected
薛能_1,齊己_2,4,undirected
薛能_2,劉禹錫_2,2,undirected
薛能_2,方幹_2,1,undirected
薛能_2,白居易_1,2,undirected
薛能_2,羅隱_1,4,undirected
薛能_2,薛能_1,6,undirected
薛能_2,韋莊_1,1,undirected
許渾_1,杜牧_2,2,undirected
許渾_1,溫庭筠_2,1,undirected
許渾_1,許渾_2,6,undirected
許渾_2,杜牧_2,3,undirected
許渾_2,溫庭筠_2,1,undirected
許渾_2,許渾_1,6,undirected
貫休_1,呂岩_1,2,undirected
貫休_1,李白_1,2,undirected
貫休_1,杜甫_2,1,undirected
貫休_1,韓愈_1,4,undirected
貫休_1,顧況_1,2,undirected
貫休_2,劉禹錫_1,2,undirected
貫休_2,孟郊_2,1,undirected
貫休_2,張說_1,3,undirected
賈島_1,儲光羲_1,2,undirected
賈島_1,劉禹錫_1,3,undirected
賈島_1,張籍_2,2,undirected
賈島_1,方幹_2,1,undirected
賈島_1,李白_2,2,undirected
賈島_1,李端_2,1,undirected
賈島_1,杜甫_2,2,undirected
賈島_1,賈島_2,2,undirected
賈島_2,劉禹錫_1,3,undirected
賈島_2,劉長卿_1,1,undirected
賈島_2,杜牧_2,3,undirected
賈島_2,王建_1,2,undirected
賈島_2,賈島_1,2,undirected
錢起_1,儲光羲_1,1,undirected
錢起_1,劉禹錫_1,1,undirected
錢起_1,張九齡_2,1,undirected
錢起_1,張說_1,4,undirected
錢起_1,張說_2,1,undirected
錢起_1,皎然_1,1,undirected
錢起_1,錢起_2,6,undirected
錢起_1,韋應物_2,1,undirected
錢起_2,劉禹錫_1,1,undirected
錢起_2,錢起_1,6,undirected
錢起_2,韋莊_1,2,undirected
陸龜蒙_1,徐夤_2,1,undirected
陸龜蒙_1,杜牧_1,2,undirected
陸龜蒙_1,溫庭筠_1,3,undirected
陸龜蒙_1,皮日休_2,1,undirected
陸龜蒙_2,元稹_1,1,undirected
陸龜蒙_2,杜甫_1,1,undirected
陸龜蒙_2,柳宗元_1,2,undirected
陸龜蒙_2,柳宗元_2,3,undirected
